tag,MM,loc_tag,Q1,Q2,Q3,Q4,most_occurrence,RT,Dictyota,BT,C,Caulerpa
A1,April,SBE_APR,RT,Dictyota,RT,Dictyota,RT,2,2,0,0,0
A2,April,SBE_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A3,April,SBE_APR,NA,NA,NA,NA,NA,0,0,0,0,0
A4,April,SBE_APR,RT,RT,Dictyota,Caulerpa,RT,2,1,0,0,1
A5,April,SBE_APR,S,S,OtT,RT,S,1,0,0,0,0
A6,April,SBE_APR,Dictyota,Dictyota,RT,RT,Dictyota,2,2,0,0,0
A7,April,SBE_APR,Dictyota,RT,RT,Dictyota,Dictyota,2,2,0,0,0
A8,April,SBE_APR,RT,Dictyota,RT,ACA,RT,2,1,0,0,0
A9,April,SBE_APR,ABH,RT,RT,RT,RT,3,0,0,1,0
A10,April,SBE_APR,RT,RT,Fol,RT,RT,3,0,0,0,0
A11,April,SBE_APR,RT,RT,Dictyota,Dictyota,RT,2,2,0,0,0
A12,April,SBE_APR,RT,Dictyota,POH,Dictyota,Dictyota,1,2,0,1,0
A13,April,SBE_APR,POH,Dictyota,RT,Dictyota,Dictyota,1,2,0,1,0
A14,April,SBE_APR,RT,Fol,RT,Fol,Fol,2,0,0,0,0
A15,April,SBE_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A16,April,SBE_APR,RT,ACH,RT,S,RT,2,0,0,1,0
A17,April,SBE_APR,RT,OBBH,RT,Caulerpa,RT,2,0,0,1,1
A18,April,SBE_APR,RT,Dictyota,BT,RT,RT,2,1,1,0,0
A19,April,SBE_APR,POH,MEH,Dictyota,RT,,1,1,0,2,0
A20,April,SBE_APR,RT,RT,S,RT,RT,3,0,0,0,0
A21,April,SBE_APR,RT,RT,Rt,RT,RT,4,0,0,0,0
A22,April,SBE_APR,RT,Flesh,R,Flesh,Flesh,1,0,0,0,0
A23,April,SBE_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A24,April,SBE_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A25,April,SBE_APR,RT,Dictyota,Flesh,RT,RT,2,1,0,0,0
A26,April,SBE_APR,MEH,Dictyota,MEH,Dictyota,MEH,0,2,0,2,0
A27,April,SBE_APR,RT,Flesh,Flesh,Flesh,Flesh,1,0,0,0,0
A28,April,SBE_APR,RT,RT,GT,GT,RT,2,0,0,0,0
A29,April,SBE_APR,RT,RT,RT,S,RT,3,0,0,0,0
A30,April,SBE_APR,NA,NA,NA,NA,NA,0,0,0,0,0
A31,April,SBE_APR,RT,Flesh,RT,Flesh,RT,2,0,0,0,0
A32,April,SBE_APR,Dictyota,RT,ABH,RT,RT,2,1,0,1,0
A33,April,SBE_APR,MEH,RT,MEH,RT,MEH,2,0,0,2,0
A34,April,SBE_APR,Dictyota,MEH,RT,MEH,MEH,1,1,0,2,0
A35,April,SBE_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A36,April,SBE_APR,RT,RT,Dictyota,RT,RT,3,1,0,0,0
A37,April,SBE_APR,RT,Dictyota,S,Dictyota,Dictyota,1,2,0,0,0
A38,April,SBE_APR,RT,RT,RT,Flesh,RT,3,0,0,0,0
A39,April,SBE_APR,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
A40,April,SBE_APR,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
A41,April,SBE_APR,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
A42,April,SBE_APR,RT,Dictyota,RT,Dictyota,RT,2,2,0,0,0
A43,April,SBE_APR,RT,Dictyota,RT,Dictyota,RT,2,2,0,0,0
A44,April,SBE_APR,ACA,Dictyota,CCA,Dictyota,Dictyota,0,2,0,0,0
A45,April,SBE_APR,ANH,Dictyota,ANH,ANH,ANH,0,1,0,3,0
A46,April,SBE_APR,Dictyota,Dictyota,Dictyota,Dictyota,Dictyota,0,4,0,0,0
A47,April,EB_APR,Dictyota,Dictyota,Dictyota,Dictyota,Dictyota,0,4,0,0,0
A48,April,EB_APR,MEH,MEH,RT,MEH,MEH,1,0,0,3,0
A49,April,EB_APR,RT,RT,R,RT,RT,3,0,0,0,0
A50,April,EB_APR,RT,PLH,RT,PLH,RT,2,0,0,2,0
A51,April,EB_APR,Flesh,RT,RT,RT,RT,3,0,0,0,0
A52,April,EB_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A53,April,EB_APR,RT,ANH,ANH,ANH,ANH,1,0,0,3,0
A54,April,EB_APR,RT,Dictyota,RT,RT,RT,3,1,0,0,0
A55,April,EB_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A56,April,EB_APR,RT,RT,Dictyota,RT,RT,3,1,0,0,0
A57,April,EB_APR,RT,ABH,RT,RT,RT,3,0,0,1,0
A58,April,EB_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A59,April,EB_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A60,April,EB_APR,OBBH,MEH,NA,MEH,MEH,0,0,0,3,0
A61,April,EB_APR,Anemo,MPH,MPH,MPH,MPH,0,0,0,3,0
A62,April,EB_APR,MPH,MPH,MPH,MPH,MPH,0,0,0,4,0
A63,April,EB_APR,MPH,Anemo,MPH,MPH,MPH,0,0,0,3,0
A64,April,EB_APR,MEH,MPH,MEH,MEH,MEH,0,0,0,4,0
A65,April,EB_APR,MEH,MPH,MEH,MPH,MEH,0,0,0,4,0
A66,April,EB_APR,MEH,MEH,MEH,MPH,MEH,0,0,0,4,0
A67,April,EB_APR,MEH,Dictyota,MPH,Dictyota,Dictyota,0,2,0,2,0
A68,April,EB_APR,Dictyota,Dictyota,Dictyota,MPH,Dictyota,0,3,0,1,0
A69,April,EB_APR,S,Flesh,Leath,R,,0,0,0,0,0
A70,April,EB_APR,RT,RT,RT,Flesh,RT,3,0,0,0,0
A71,April,EB_APR,Dictyota,Dictyota,NA,OBBH,Dictyota,0,2,0,1,0
A72,April,EB_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A73,April,EB_APR,RT,RT,ABH,RT,RT,3,0,0,1,0
A74,April,EB_APR,Dictyota,Dictyota,RT,RT,Dictyota,2,2,0,0,0
A75,April,EB_APR,RT,RT,CCA,RT,RT,3,0,0,0,0
A76,April,EB_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A77,April,EB_APR,Urchin,RT,RT,RT,RT,3,0,0,0,0
A78,April,EB_APR,RT,MEH,RT,RT,RT,3,0,0,1,0
A79,April,EB_APR,MEH,MEH,MEH,MEH,MEH,0,0,0,4,0
A80,April,EB_APR,RT,R,RT,RT,RT,3,0,0,0,0
A81,April,SBW_APR,Dictyota,Flesh,MEH,MEH,MEH,0,1,0,2,0
A82,April,SBW_APR,Dictyota,Dictyota,Dictyota,Dictyota,Dictyota,0,4,0,0,0
A83,April,SBW_APR,Flesh,Dictyota,Flesh,Flesh,Flesh,0,1,0,0,0
A84,April,SBW_APR,Dictyota,Flesh,Dictyota,MEH,Dictyota,0,2,0,1,0
A85,April,SBW_APR,Caulerpa,Flesh,Flesh,Dictyota,Flesh,0,1,0,0,1
A86,April,SBW_APR,MEH,Flesh,MEH,MEH,MEH,0,0,0,3,0
A87,April,SBW_APR,Dictyota,Dictyota,PLH,RT,Dictyota,1,2,0,1,0
A88,April,SBW_APR,RT,RT,S,RT,RT,3,0,0,0,0
A89,April,SBW_APR,Dictyota,Dictyota,Dictyota,Dictyota,Dictyota,0,4,0,0,0
A90,April,SBW_APR,ANH,RT,NA,ABH,,1,0,0,2,0
A91,April,SBW_APR,Dictyota,Dictyota,Dictyota,Dictyota,Dictyota,0,4,0,0,0
A92,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A93,April,SBW_APR,ANH,ANH,ANH,ANH,ANH,0,0,0,4,0
A94,April,SBW_APR,RT,Flesh,ACA,RT,RT,2,0,0,0,0
A95,April,SBW_APR,RT,Dictyota,POH,POH,POH,1,1,0,2,0
A96,April,SBW_APR,OBBH,GT,RT,GT,GT,1,0,0,1,0
A97,April,SBW_APR,RT,POH,RT,BT,RT,2,0,1,1,0
A98,April,SBW_APR,POH,RT,Dictyota,Dictyota,Dictyota,1,2,0,1,0
A99,April,SBW_APR,Dictyota,Dictyota,MEH,Dictyota,Dictyota,0,3,0,1,0
A100,April,SBW_APR,Dictyota,RT,Dictyota,RT,Dictyota,2,2,0,0,0
A101,April,SBW_APR,GT,GT,RT,Flesh,GT,1,0,0,0,0
A102,April,SBW_APR,MPH,MPH,RT,RT,MPH,2,0,0,2,0
A103,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A104,April,SBW_APR,ACA,Flesh,RT,RT,RT,2,0,0,0,0
A105,April,SBW_APR,Flesh,Flesh,Flesh,Dictyota,Flesh,0,1,0,0,0
A106,April,SBW_APR,MEH,MEH,MEH,RT,MEH,1,0,0,3,0
A107,April,SBW_APR,CCA,PLH,Flesh,Flesh,Flesh,0,0,0,1,0
A108,April,SBW_APR,Dictyota,Dictyota,Dictyota,RT,Dictyota,1,3,0,0,0
A109,April,SBW_APR,RT,RT,MEH,MEH,RT,2,0,0,2,0
A110,April,SBW_APR,MEH,Dictyota,Flesh,MEH,MEH,0,1,0,2,0
A111,April,SBW_APR,MEH,MPH,RT,Flesh,,1,0,0,2,0
A112,April,SBW_APR,MEH,RT,RT,RT,RT,3,0,0,1,0
A113,April,SBW_APR,Flesh,Flesh,RT,Flesh,Flesh,1,0,0,0,0
A114,April,SBW_APR,RT,Flesh,S,RT,RT,2,0,0,0,0
A115,April,SBW_APR,MEH,Flesh,MPH,MEH,MEH,0,0,0,3,0
A116,April,SBW_APR,MEH,MEH,MEH,Flesh,MEH,0,0,0,3,0
A117,April,SBW_APR,MEH,MEH,POH,MEH,MEH,0,0,0,4,0
A118,April,SBW_APR,Flesh,MEH,RT,RT,RT,2,0,0,1,0
A119,April,SBW_APR,Dictyota,Dictyota,Dictyota,RT,Dictyota,1,3,0,0,0
A120,April,SBW_APR,Dictyota,Flesh,Flesh,RT,Flesh,1,1,0,0,0
A121,April,SBW_APR,RT,Dictyota,RT,Dictyota,RT,2,2,0,0,0
A122,April,SBW_APR,Dictyota,Dictyota,Dictyota,RT,Dictyota,1,3,0,0,0
A123,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A124,April,SBW_APR,R,MEH,Dictyota,RT,,1,1,0,1,0
A125,April,SBW_APR,MEH,ABH,MPH,Flesh,,0,0,0,3,0
A126,April,SBW_APR,RT,Flesh,RT,RT,RT,3,0,0,0,0
A127,April,SBW_APR,RT,RT,Flesh,RT,RT,3,0,0,0,0
A128,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A129,April,SBW_APR,RT,Dictyota,RT,Dictyota,RT,2,2,0,0,0
A130,April,SBW_APR,Flesh,MEH,Flesh,RT,Flesh,1,0,0,1,0
A131,April,SBW_APR,Flesh,PLH,RT,Flesh,Flesh,1,0,0,1,0
A132,April,SBW_APR,Flesh,Flesh,RT,RT,Flesh,2,0,0,0,0
A133,April,SBW_APR,Flesh,Flesh,RT,RT,Flesh,2,0,0,0,0
A134,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A135,April,SBW_APR,RT,Flesh,Dictyota,PLH,,1,1,0,1,0
A136,April,SBW_APR,RT,RT,MEH,Flesh,RT,2,0,0,1,0
A137,April,SBW_APR,Flesh,Dictyota,Dictyota,RT,Dictyota,1,2,0,0,0
A138,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A139,April,SBW_APR,RT,CCA,Dictyota,RT,RT,2,1,0,0,0
A140,April,SBW_APR,RT,Flesh,OBBH,RT,RT,2,0,0,1,0
A141,April,SBW_APR,Flesh,RT,Flesh,RT,Flesh,2,0,0,0,0
A142,April,SBW_APR,Flesh,MEH,RT,RT,RT,2,0,0,1,0
A143,April,SBW_APR,RT,Flesh,RT,RT,RT,3,0,0,0,0
A144,April,SBW_APR,RT,RT,Flesh,RT,RT,3,0,0,0,0
A145,April,SBW_APR,MEH,MEH,Flesh,Flesh,MEH,0,0,0,2,0
A146,April,SBW_APR,Flesh,MEH,RT,Flesh,Flesh,1,0,0,1,0
A147,April,SBW_APR,Flesh,RT,RT,OBBH,RT,2,0,0,1,0
A148,April,SBW_APR,RT,RT,POH,RT,RT,3,0,0,1,0
A149,April,SBW_APR,POH,POH,RT,MEH,POH,1,0,0,3,0
A150,April,SBW_APR,Flesh,Dictyota,CCA,BT,,0,1,1,0,0
A151,April,SBW_APR,RT,Flesh,Dictyota,RT,RT,2,1,0,0,0
A152,April,SBW_APR,Flesh,RT,Flesh,Flesh,Flesh,1,0,0,0,0
A153,April,SBW_APR,Flesh,RT,RT,Flesh,Flesh,2,0,0,0,0
A154,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A155,April,SBW_APR,Flesh,RT,Flesh,RT,Flesh,2,0,0,0,0
A156,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A157,April,SBW_APR,PLH,GT,RT,MEH,,1,0,0,2,0
A158,April,SBW_APR,BT,Flesh,RT,RT,RT,2,0,1,0,0
A159,April,SBW_APR,Dictyota,Dictyota,RT,Dictyota,Dictyota,1,3,0,0,0
A160,April,SBW_APR,Flesh,Dictyota,RT,RT,RT,2,1,0,0,0
A161,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A162,April,SBW_APR,RT,Dictyota,RT,RT,RT,3,1,0,0,0
