,RT,Dictyota,BT,C,Caulerpa,,n_sample,,,,,,,,,,
CB_APR,26,11.25,0,19.5,1.25,,90,,CB_APR,64,78.75,90,70.5,88.75,,CB_APR,32
CB_DEC,0.25,6,0.5,18.25,24.25,,85,,CB_DEC,84.75,79,84.5,66.75,60.75,,CB_DEC,35.75
SBW_APR,62.75,18.75,0.75,30.5,0.25,,142,,SBW_APR,79.25,123.25,141.25,111.5,141.75,,SBW_APR,29
SBW_DEC,2,12.5,30.5,12.25,6,,101,,SBW_DEC,99,88.5,70.5,88.75,95,,SBW_DEC,37.75
SBE_APR,21,8.75,0.25,4.25,0.5,,46,,SBE_APR,25,37.25,45.75,41.75,45.5,,SBE_APR,11.25
SBE_DEC,1.5,8.5,15.5,7.5,11.25,,64,,SBE_DEC,62.5,55.5,48.5,56.5,52.75,,SBE_DEC,19.75
EB_APR,15.75,3.75,0,11,0,,34,,EB_APR,18.25,30.25,34,23,34,,EB_APR,3.5
EB_DEC,1.25,13,6.5,10.25,5,,56,,EB_DEC,54.75,43,49.5,45.75,51,,EB_DEC,20
,,,,,,,,,,,,,,,,,
CB_APR,28.88888889,12.5,0,21.66666667,1.388888889,,,,,,,,,,,,
CB_DEC,0.294117647,7.058823529,0.588235294,21.47058824,28.52941176,,,,,,,,,,,,
SBW_APR,44.19014085,13.20422535,0.528169014,21.47887324,0.176056338,,,,,,,,,,,,
SBW_DEC,1.98019802,12.37623762,30.1980198,12.12871287,5.940594059,,,,,,,,,,,,
SBE_APR,45.65217391,19.02173913,0.543478261,9.239130435,1.086956522,,,,,,,,,,,,
SBE_DEC,2.34375,13.28125,24.21875,11.71875,17.578125,,,,,,,,,,,,
EB_APR,46.32352941,11.02941176,0,32.35294118,0,,,,,,,,,,,,
EB_DEC,2.232142857,23.21428571,11.60714286,18.30357143,8.928571429,,,,,,,,,,,,
