YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
2023,1,1,21.64,21.85,21.78,-0.6674,0,0,0
2023,1,2,21.58,21.8,21.69,-0.8206,0,0,0
2023,1,3,21.96,22.24,22.06,-0.4645,0,0,0
2023,1,4,22.08,22.33,22.27,-0.3787,0,0,0
2023,1,5,22.25,22.47,22.33,-0.2839,0,0,0
2023,1,6,22.31,22.64,22.59,-0.1797,0,0,0
2023,1,7,22.32,22.59,22.45,-0.2671,0,0,0
2023,1,8,22.37,22.65,22.58,-0.1842,0,0,0
2023,1,9,22.33,22.58,22.51,-0.2703,0,0,0
2023,1,10,22.41,22.73,22.66,-0.1703,0,0,0
2023,1,11,22.55,22.82,22.78,-0.111,0,0,0
2023,1,12,22.75,23.25,23.16,0.1877,0,0,0
2023,1,13,22.91,23.56,23.48,0.4252,0,0,0
2023,1,14,23.02,23.44,23.33,0.3123,0,0,0
2023,1,15,22.85,23.21,23.11,0.07,0,0,0
2023,1,16,22.77,22.98,22.93,-0.1142,0,0,0
2023,1,17,22.68,22.94,22.85,-0.2164,0,0,0
2023,1,18,22.67,22.92,22.78,-0.2806,0,0,0
2023,1,19,22.71,23,22.87,-0.2068,0,0,0
2023,1,20,22.7,23.1,22.93,-0.2029,0,0,0
2023,1,21,22.79,23.19,22.95,-0.1674,0,0,0
2023,1,22,22.68,23.11,22.86,-0.2703,0,0,0
2023,1,23,22.56,23.16,22.91,-0.2332,0,0,0
2023,1,24,22.85,23.33,23.2,-0.0161,0,0,0
2023,1,25,22.89,23.39,23.25,0.021,0,0,0
2023,1,26,22.96,23.34,23.2,-0.0419,0,0,0
2023,1,27,23.01,23.45,23.33,0.0752,0,0,0
2023,1,28,23.02,23.56,23.4,0.1723,0,0,0
2023,1,29,23.52,24.22,24.05,0.7894,0.57,0,1
2023,1,30,23.7,24.13,24.05,0.7765,0.57,0,1
2023,1,31,23.82,24.41,24.27,1.0035,0.81,0,1
