date,rainfall
1/04/2023,10
2/04/2023,10.8
3/04/2023,3.4
4/04/2023,0
5/04/2023,0.4
6/04/2023,48
7/04/2023,21
8/04/2023,3.8
9/04/2023,0.2
10/04/2023,8.4
11/04/2023,0
12/04/2023,0
13/04/2023,58.2
14/04/2023,1.6
15/04/2023,43.8
16/04/2023,16.8
17/04/2023,0.2
18/04/2023,2.2
19/04/2023,4.4
20/04/2023,3.8
21/04/2023,0.4
22/04/2023,0.2
23/04/2023,0.2
24/04/2023,16.4
25/04/2023,0.4
26/04/2023,0
27/04/2023,0
28/04/2023,4.6
29/04/2023,10.8
30/04/2023,2
1/05/2023,0
2/05/2023,0
3/05/2023,0.4
4/05/2023,38.2
5/05/2023,0
6/05/2023,0
7/05/2023,0
8/05/2023,0
9/05/2023,31
10/05/2023,1.6
11/05/2023,0.2
12/05/2023,0.2
13/05/2023,0.4
14/05/2023,12
15/05/2023,0
16/05/2023,0
17/05/2023,0
18/05/2023,9.4
19/05/2023,0.4
20/05/2023,3
21/05/2023,3.6
22/05/2023,10.4
23/05/2023,0.4
24/05/2023,0.2
25/05/2023,1
26/05/2023,0
27/05/2023,0
28/05/2023,22.2
29/05/2023,0
30/05/2023,0
31/05/2023,0.4
1/06/2023,0
2/06/2023,0
3/06/2023,0
4/06/2023,0
5/06/2023,2
6/06/2023,0.2
7/06/2023,0.6
8/06/2023,0.4
9/06/2023,0
10/06/2023,0.6
11/06/2023,0
12/06/2023,0
13/06/2023,1.2
14/06/2023,7.4
15/06/2023,9.6
16/06/2023,1
17/06/2023,0
18/06/2023,0
19/06/2023,0
20/06/2023,0
21/06/2023,16
22/06/2023,1.4
23/06/2023,3
24/06/2023,0.4
25/06/2023,0.4
26/06/2023,0.2
27/06/2023,0
28/06/2023,
29/06/2023,1.8
30/06/2023,1.4
1/07/2023,0.6
2/07/2023,5
3/07/2023,2.8
4/07/2023,0
5/07/2023,
6/07/2023,0.2
7/07/2023,30.8
8/07/2023,3.2
9/07/2023,1.4
10/07/2023,0.6
11/07/2023,1.4
12/07/2023,0.2
13/07/2023,1.8
14/07/2023,0.2
15/07/2023,0
16/07/2023,0
17/07/2023,0.4
18/07/2023,1
19/07/2023,0
20/07/2023,7
21/07/2023,0.8
22/07/2023,0
23/07/2023,4.2
24/07/2023,1
25/07/2023,0.6
26/07/2023,0.4
27/07/2023,0.2
28/07/2023,0.6
29/07/2023,1.6
30/07/2023,0.4
31/07/2023,0
1/08/2023,0.2
2/08/2023,2.2
3/08/2023,0.6
4/08/2023,0.8
5/08/2023,2.6
6/08/2023,0
7/08/2023,0.6
8/08/2023,0.2
9/08/2023,0.2
10/08/2023,0
11/08/2023,0.8
12/08/2023,0.2
13/08/2023,0.4
14/08/2023,4.6
15/08/2023,10.2
16/08/2023,8.6
17/08/2023,0
18/08/2023,0.4
19/08/2023,0
20/08/2023,29.8
21/08/2023,0
22/08/2023,0
23/08/2023,0
24/08/2023,0
25/08/2023,0.2
26/08/2023,2.2
27/08/2023,0
28/08/2023,0
29/08/2023,0
30/08/2023,0
31/08/2023,0
1/09/2023,11.8
2/09/2023,5.8
3/09/2023,0.4
4/09/2023,0.4
5/09/2023,0
6/09/2023,0
7/09/2023,0
8/09/2023,0
9/09/2023,2.2
10/09/2023,3
11/09/2023,18.6
12/09/2023,0.2
13/09/2023,0.2
14/09/2023,0.2
15/09/2023,0
16/09/2023,0
17/09/2023,0
18/09/2023,0
19/09/2023,0
20/09/2023,0
21/09/2023,0
22/09/2023,0
23/09/2023,6.6
24/09/2023,25.6
25/09/2023,0
26/09/2023,2
27/09/2023,0
28/09/2023,0
29/09/2023,0.2
30/09/2023,0
1/10/2023,0
2/10/2023,0
3/10/2023,0
4/10/2023,0
5/10/2023,0.2
6/10/2023,0
7/10/2023,0
8/10/2023,1.2
9/10/2023,1.8
10/10/2023,0
11/10/2023,0
12/10/2023,0
13/10/2023,0
14/10/2023,0
15/10/2023,0
16/10/2023,0.6
17/10/2023,0
18/10/2023,15.2
19/10/2023,2.2
20/10/2023,0
21/10/2023,0.4
22/10/2023,0
23/10/2023,0
24/10/2023,0
25/10/2023,1.6
26/10/2023,0
27/10/2023,0
28/10/2023,0
29/10/2023,23
30/10/2023,3.4
31/10/2023,0.4
1/11/2023,0
2/11/2023,0
3/11/2023,1.8
4/11/2023,0.2
5/11/2023,0.8
6/11/2023,0
7/11/2023,0
8/11/2023,0
9/11/2023,0
10/11/2023,0
11/11/2023,0
12/11/2023,0.6
13/11/2023,0
14/11/2023,0
15/11/2023,0
16/11/2023,0
17/11/2023,0
18/11/2023,0
19/11/2023,3.2
20/11/2023,0
21/11/2023,0
22/11/2023,0
23/11/2023,0
24/11/2023,1.2
25/11/2023,0.8
26/11/2023,0
27/11/2023,0
28/11/2023,0
29/11/2023,0
30/11/2023,0.4
1/12/2023,0
2/12/2023,0
3/12/2023,0
4/12/2023,0.8
5/12/2023,4.2
6/12/2023,1.2
7/12/2023,0
8/12/2023,0
9/12/2023,0
10/12/2023,0
11/12/2023,0
12/12/2023,0
13/12/2023,0
14/12/2023,0
15/12/2023,0
16/12/2023,0
17/12/2023,0
18/12/2023,0.2
19/12/2023,0
20/12/2023,6
21/12/2023,20.6
22/12/2023,13.4
23/12/2023,0
24/12/2023,0.8
25/12/2023,18
26/12/2023,0.4
27/12/2023,0
28/12/2023,0
29/12/2023,0
30/12/2023,2.6
31/12/2023,0
